"cod","unidade","nome","Arabica_area","Canephora_area","area_total","proporcao_Arabica","proporcao_Canephora","yield","FC_m","FC2km","FC500m","PollinatorD","EUdist","ID","Principal"
"2900900","MU","Almadina (BA)",0,100,100,0,1,20.55555556,0.459666667,0.729333333,0.582333333,1,52.87795425,"other municipalities","Canephora"
"2902252","MU","Arataca (BA)",0,1450,1450,0,1,28.45555556,0.882,0.782333333,0.593666667,1,49.26414609,"other municipalities","Canephora"
"2902906","MU","Barra do Choça (BA)",18000,0,18000,1,0,17.66111111,0.175,0.137333333,0.116,0.3,287.7084416,"other municipalities","Arabica"
"2904803","MU","Caatiba (BA)",125,0,125,1,0,10,0.166333333,0.058333333,0.231,0.3,811.4261436,"other municipalities","Arabica"
"2905602","MU","Camacan (BA)",0,826,826,0,1,18.37777778,0.745333333,0.639333333,0.404333333,1,95.95488104,"other municipalities","Canephora"
"2905800","MU","Camamu (BA)",0,180,180,0,1,18.33333333,0.677666667,0.814333333,0.663,1,39.80384766,"other municipalities","Canephora"
"2908002","MU","Coaraci (BA)",0,80,80,0,1,21.45555556,0.529,0.764666667,0.619333333,1,56.43135265,"other municipalities","Canephora"
"2909505","MU","Cravolândia (BA)",180,0,180,1,0,10,0.368333333,0.505,0.517333333,0.3,56.01244044,"other municipalities","Arabica"
"2910008","MU","Dário Meira (BA)",0,35,35,0,1,10.28333333,0.319333333,0.356666667,0.447333333,1,82.49391715,"other municipalities","Canephora"
"2910404","MU","Encruzilhada (BA)",5000,0,5000,1,0,11.99444444,0.137,0.177333333,0.149333333,0.3,194.5011388,"other municipalities","Arabica"
"2910727","MU","Eunápolis (BA)",0,1183,1183,0,1,10,0.221,0.174666667,0.126666667,1,275.1183042,"other municipalities","Canephora"
"2911204","MU","Gandu (BA)",0,68,68,0,1,10.86111111,0.718333333,0.695666667,0.625666667,1,28.77219151,"other municipalities","Canephora"
"2911808","MU","Guaratinga (BA)",0,900,900,0,1,10.93888889,0.190666667,0.239333333,0.21,1,222.309036,"other municipalities","Canephora"
"2912707","MU","Ibirapitanga (BA)",0,100,100,0,1,10.74444444,0.758333333,0.607,0.327333333,1,129.4475839,"other municipalities","Canephora"
"2913507","MU","Iguaí (BA)",300,0,300,1,0,4.722222222,0.207666667,0.226333333,0.281666667,0.3,110.4127463,"other municipalities","Arabica"
"2914653","MU","Itabela (BA)",0,3000,3000,0,1,10,0.270333333,0.176666667,0.145666667,1,212.9393239,"other municipalities","Canephora"
"2915106","MU","Itagi (BA)",45,0,45,1,0,12.44444444,0.458,0.376333333,0.373333333,0.3,48.63330828,"other municipalities","Arabica"
"2915502","MU","Itajuípe (BA)",0,120,120,0,1,16.88888889,0.830666667,0.809,0.615666667,1,48.31205503,"other municipalities","Canephora"
"2915601","MU","Itamaraju (BA)",0,8500,8500,0,1,34,0.23,0.097666667,0.081666667,1,448.7629545,"other municipalities","Canephora"
"2915700","MU","Itamari (BA)",0,60,60,0,1,12.92777778,0.627666667,0.619333333,0.474333333,1,37.56018709,"other municipalities","Canephora"
"2915809","MU","Itambé (BA)",400,0,400,1,0,10,0.138333333,0.073,0.069666667,0.3,359.226421,"other municipalities","Arabica"
"2916005","MU","Itanhém (BA)",0,1280,1280,0,1,13.77777778,0.052666667,0.113333333,0.129,1,393.223856,"other municipalities","Canephora"
"2916708","MU","Itaquara (BA)",240,0,240,1,0,8.955555556,0.208333333,0.204666667,0.151333333,0.3,162.4562378,"other municipalities","Arabica"
"2916906","MU","Itiruçu (BA)",1750,0,1750,1,0,10,0.221666667,0.170666667,0.164,0.3,167.4504164,"other municipalities","Arabica"
"2918209","MU","Jiquiriçá (BA)",0,50,50,0,1,18.31111111,0.55,0.424,0.508333333,1,24.64659845,"other municipalities","Canephora"
"2918308","MU","Jitaúna (BA)",40,0,40,1,0,12.4,0.590666667,0.617,0.462333333,0.3,73.52168242,"other municipalities","Arabica"
"2918456","MU","Jucuruçu (BA)",0,1600,1600,0,1,23.05555556,0.171,0.254,0.158,1,215.2026673,"other municipalities","Canephora"
"2918555","MU","Jussari (BA)",0,130,130,0,1,21.12222222,0.336666667,0.621666667,0.610666667,1,58.69976342,"other municipalities","Canephora"
"2920908","MU","Mascote (BA)",0,152,152,0,1,15.9,0.407333333,0.328,0.192333333,1,189.3845939,"other municipalities","Canephora"
"2921104","MU","Medeiros Neto (BA)",0,70,70,0,1,14.32777778,0.014666667,0.015,0.037333333,1,723.1161008,"other municipalities","Canephora"
"2922706","MU","Nova Canaã (BA)",500,0,500,1,0,4.883333333,0.112,0.351666667,0.487333333,0.3,78.53528574,"other municipalities","Arabica"
"2925758","MU","Presidente Tancredo Neves (BA)",0,150,150,0,1,16.12777778,0.601666667,0.645666667,0.568,1,26.86127385,"other municipalities","Canephora"
"2926657","MU","Ribeirão do Largo (BA)",2500,0,2500,1,0,11.11111111,0.192,0.297666667,0.253666667,0.3,136.2703188,"other municipalities","Arabica"
"2927903","MU","Santa Inês (BA)",17,0,17,1,0,10.00555556,0.352333333,0.488666667,0.415,0.3,97.1399067,"other municipalities","Arabica"
"2928059","MU","Santa Luzia (BA)",0,350,350,0,1,22.88888889,0.627,0.551666667,0.428333333,1,95.64200726,"other municipalities","Canephora"
"2931350","MU","Teixeira de Freitas (BA)",0,1000,1000,0,1,13.11111111,0.065666667,0.146,0.089666667,1,487.0553989,"other municipalities","Canephora"
"2932101","MU","Ubaíra (BA)",786,0,786,1,0,9.661111111,0.511333333,0.457333333,0.480333333,0.3,39.48449432,"other municipalities","Arabica"
"2933257","MU","Vereda (BA)",0,0,0,NA,NA,12.93888889,0.104666667,0.136333333,0.080333333,1,328.6748755,"other municipalities",NA
"2933505","MU","Wenceslau Guimarães (BA)",0,380,380,0,1,8.016666667,0.674,0.630333333,0.635666667,1,21.58939675,"other municipalities","Canephora"
"3100302","MU","Abre Campo (MG)",5280,0,5280,1,0,18,0.197666667,0.23,0.205,0.3,119.1863086,"other municipalities","Arabica"
"3100500","MU","Açucena (MG)",50,0,50,1,0,17.85,0.338,0.400666667,0.679666667,0.3,8.753558835,"other municipalities","Arabica"
"3101003","MU","Águas Vermelhas (MG)",185,0,185,1,0,22.52222222,0.188666667,0.044333333,0.078333333,0.3,417.1443052,"other municipalities","Arabica"
"3101102","MU","Aimorés (MG)",412,1605,2017,0.20426375805652,0.79573624194348,24.83888889,0.076,0.104,0.136666667,0.712,363.2119736,"other municipalities","Canephora"
"3101409","MU","Albertina (MG)",1500,0,1500,1,0,18.66666667,0.233,0.215,0.206666667,0.3,109.847304,"other municipalities","Arabica"
"3101607","MU","Alfenas (MG)",10900,0,10900,1,0,27,0.047,0.053666667,0.060333333,0.3,311.1056441,"other municipalities","Arabica"
"3101706","MU","Almenara (MG)",480,0,480,1,0,11.94444444,0.261333333,0.440333333,0.324666667,0.3,209.2917513,"other municipalities","Arabica"
"3102001","MU","Alterosa (MG)",3530,0,3530,1,0,22.26666667,0.061,0.062,0.062666667,0.3,266.0798466,"study area","Arabica"
"3102050","MU","Alto Caparaó (MG)",3900,0,3900,1,0,27.33333333,0.424,0.413,0.402333333,0.3,54.8662616,"other municipalities","Arabica"
"3102209","MU","Alvarenga (MG)",840,12,852,0.985915492957746,0.0140845070422535,15.89444444,0.173666667,0.206333333,0.237,0.323,92.81816591,"other municipalities","Arabica"
"3102506","MU","Amparo do Serra (MG)",230,0,230,1,0,16.66666667,0.217333333,0.212333333,0.173,0.3,150.3904848,"other municipalities","Arabica"
"3102605","MU","Andradas (MG)",7770,0,7770,1,0,27.16666667,0.149666667,0.146666667,0.140666667,0.3,164.9765993,"study area","Arabica"
"3102704","MU","Cachoeira de Pajeú (MG)",10,3,13,0.769230769230769,0.230769230769231,10.25,0.325333333,0.113333333,0.105333333,0.562,223.9380022,"other municipalities","Arabica"
"3102803","MU","Andrelândia (MG)",253,0,253,1,0,15.01666667,0.093,0.081666667,0.055,0.3,485.5241691,"other municipalities","Arabica"
"3103009","MU","Antônio Dias (MG)",80,0,80,1,0,18.37222222,0.530666667,0.645,0.487666667,0.3,93.50431256,"other municipalities","Arabica"
"3103108","MU","Antônio Prado de Minas (MG)",105,0,105,1,0,11.88333333,0.169,0.190666667,0.181666667,0.3,165.4929544,"other municipalities","Arabica"
"3103702","MU","Araponga (MG)",4470,0,4470,1,0,21.33333333,0.399666667,0.329333333,0.274333333,0.3,98.27767384,"other municipalities","Arabica"
"3104304","MU","Areado (MG)",2718,0,2718,1,0,28.7,0.047,0.071333333,0.084,0.3,250.2072618,"other municipalities","Arabica"
"3104601","MU","Astolfo Dutra (MG)",180,0,180,1,0,16.91111111,0.078666667,0.097333333,0.058,0.3,225.3595674,"other municipalities","Arabica"
"3104700","MU","Ataléia (MG)",65,0,65,1,0,12.01666667,0.046666667,0.08,0.126333333,0.3,290.0260129,"other municipalities","Arabica"
"3104908","MU","Baependi (MG)",1522,0,1522,1,0,20.66666667,0.171333333,0.132666667,0.157,0.3,187.2189174,"study area","Arabica"
"3105301","MU","Bandeira do Sul (MG)",450,0,450,1,0,20.33333333,0.126333333,0.148333333,0.178666667,0.3,106.5007642,"other municipalities","Arabica"
"3106408","MU","Belo Vale (MG)",70,0,70,1,0,7.144444444,0.122333333,0.107333333,0.031333333,0.3,301.8135871,"other municipalities","Arabica"
"3107604","MU","Bom Jesus da Penha (MG)",1935,0,1935,1,0,36.23333333,0.134333333,0.130333333,0.141,0.3,153.7545604,"study area","Arabica"
"3107802","MU","Bom Jesus do Galho (MG)",2000,0,2000,1,0,13.66666667,0.301666667,0.248333333,0.269666667,0.3,69.36728906,"other municipalities","Arabica"
"3108008","MU","Bom Sucesso (MG)",3000,0,3000,1,0,20.33333333,0.1,0.11,0.106666667,0.3,249.2671375,"other municipalities","Arabica"
"3108305","MU","Borda da Mata (MG)",750,0,750,1,0,18.66666667,0.096333333,0.114333333,0.106333333,0.3,185.1776737,"other municipalities","Arabica"
"3108404","MU","Botelhos (MG)",6300,0,6300,1,0,19.75,0.107,0.121333333,0.119,0.3,162.6095467,"study area","Arabica"
"3108701","MU","Brás Pires (MG)",0,0,0,NA,NA,14.16666667,0.275,0.2715,0.2585,0.3,126.078791,"other municipalities",NA
"3108909","MU","Brazópolis (MG)",1260,0,1260,1,0,21.66666667,0.137,0.103333333,0.106333333,0.3,242.0657141,"other municipalities","Arabica"
"3109105","MU","Bueno Brandão (MG)",1800,0,1800,1,0,20.66666667,0.085333333,0.102333333,0.083,0.3,191.2505801,"study area","Arabica"
"3109501","MU","Cabo Verde (MG)",8090,0,8090,1,0,32.83333333,0.11,0.136333333,0.144666667,0.3,138.6495048,"study area","Arabica"
"3109709","MU","Cachoeira de Minas (MG)",1390,0,1390,1,0,24,0.066333333,0.094666667,0.13,0.3,160.7972118,"study area","Arabica"
"3110103","MU","Caiana (MG)",2800,0,2800,1,0,18.66666667,0.239666667,0.238,0.211333333,0.3,108.8937559,"other municipalities","Arabica"
"3110202","MU","Cajuri (MG)",850,0,850,1,0,17.66666667,0.224,0.216666667,0.212666667,0.3,119.9057149,"other municipalities","Arabica"
"3110301","MU","Caldas (MG)",650,0,650,1,0,23.33333333,0.131,0.134,0.124,0.3,191.8554901,"other municipalities","Arabica"
"3110400","MU","Camacho (MG)",1355,0,1355,1,0,22,0.161,0.177333333,0.172,0.3,131.2552858,"other municipalities","Arabica"
"3110707","MU","Cambuquira (MG)",5500,0,5500,1,0,19.02777778,0.095,0.090666667,0.085666667,0.3,227.7106,"study area","Arabica"
"3110905","MU","Campanha (MG)",4525,0,4525,1,0,19.33333333,0.080333333,0.087333333,0.074333333,0.3,232.3376566,"study area","Arabica"
"3111002","MU","Campestre (MG)",9975,0,9975,1,0,19.77777778,0.096666667,0.103666667,0.109,0.3,170.9205168,"study area","Arabica"
"3111200","MU","Campo Belo (MG)",3850,0,3850,1,0,16.66666667,0.088,0.088333333,0.086333333,0.3,227.5634361,"other municipalities","Arabica"
"3111705","MU","Canaã (MG)",1915,0,1915,1,0,21,0.203333333,0.226333333,0.201,0.3,133.0767866,"other municipalities","Arabica"
"3111903","MU","Cana Verde (MG)",1200,0,1200,1,0,23.66666667,0.065333333,0.053666667,0.054,0.3,293.5350659,"other municipalities","Arabica"
"3112109","MU","Caparaó (MG)",3750,0,3750,1,0,20,0.372666667,0.354333333,0.311,0.3,80.71308505,"other municipalities","Arabica"
"3112208","MU","Capela Nova (MG)",250,0,250,1,0,29.11111111,0.206,0.173333333,0.247,0.3,109.5502539,"other municipalities","Arabica"
"3112901","MU","Caputira (MG)",4900,0,4900,1,0,19.66666667,0.273666667,0.27,0.267,0.3,76.68296746,"other municipalities","Arabica"
"3113008","MU","Caraí (MG)",1800,0,1800,1,0,14,0.355666667,0.435666667,0.38,0.3,81.31105399,"other municipalities","Arabica"
"3113305","MU","Carangola (MG)",4160,0,4160,1,0,18.33333333,0.244666667,0.255666667,0.225666667,0.3,124.3619077,"other municipalities","Arabica"
"3113404","MU","Caratinga (MG)",8300,0,8300,1,0,18.66666667,0.281333333,0.270333333,0.296,0.3,61.90621613,"other municipalities","Arabica"
"3113602","MU","Careaçu (MG)",1140,0,1140,1,0,22.66666667,0.073666667,0.091666667,0.095,0.3,207.2432143,"study area","Arabica"
"3113909","MU","Carmo da Cachoeira (MG)",10300,0,10300,1,0,21.66666667,0.090666667,0.093,0.085,0.3,225.4209051,"study area","Arabica"
"3114105","MU","Carmo de Minas (MG)",4445,0,4445,1,0,25,0.157333333,0.196666667,0.208666667,0.3,126.8389708,"study area","Arabica"
"3114501","MU","Carmópolis de Minas (MG)",294,0,294,1,0,32.65555556,0.143333333,0.117666667,0.107666667,0.3,202.8400116,"other municipalities","Arabica"
"3114600","MU","Carrancas (MG)",60,0,60,1,0,29.25555556,0.081,0.058,0.090333333,0.3,225.6961734,"other municipalities","Arabica"
"3114709","MU","Carvalhópolis (MG)",1753,0,1753,1,0,22.66666667,0.107,0.108333333,0.106,0.3,169.320962,"other municipalities","Arabica"
"3114907","MU","Casa Grande (MG)",65,0,65,1,0,20.68888889,0.111333333,0.086,0.084,0.3,180.0210354,"other municipalities","Arabica"
"3115201","MU","Conceição da Barra de Minas (MG)",221,0,221,1,0,33.13888889,0.060333333,0.063,0.068,0.3,249.0336943,"other municipalities","Arabica"
"3115458","MU","Catuji (MG)",650,0,650,1,0,11.66666667,0.399666667,0.409,0.343666667,0.3,78.49957698,"other municipalities","Arabica"
"3115508","MU","Caxambu (MG)",200,0,200,1,0,21,0.101333333,0.096666667,0.112,0.3,203.9954114,"other municipalities","Arabica"
"3115706","MU","Central de Minas (MG)",105,45,150,0.7,0.3,7.705555556,0.023666667,0.028,0.028333333,0.524,650.2292518,"other municipalities","Arabica"
"3116001","MU","Chalé (MG)",2425,0,2425,1,0,21.33333333,0.255666667,0.293333333,0.279,0.3,88.63257886,"other municipalities","Arabica"
"3116704","MU","Coimbra (MG)",460,0,460,1,0,25.38888889,0.169666667,0.171666667,0.17,0.3,141.4980613,"other municipalities","Arabica"
"3116803","MU","Coluna (MG)",35,0,35,1,0,11.74444444,0.379,0.312666667,0.275,0.3,80.16436577,"other municipalities","Arabica"
"3117009","MU","Comercinho (MG)",35,5,40,0.875,0.125,9.777777778,0.21,0.245,0.284666667,0.4,190.1140667,"other municipalities","Arabica"
"3117108","MU","Conceição da Aparecida (MG)",6176,0,6176,1,0,28.23333333,0.074,0.070666667,0.069333333,0.3,254.5969134,"study area","Arabica"
"3117207","MU","Conceição das Pedras (MG)",1831,0,1831,1,0,22.66666667,0.212666667,0.173,0.141333333,0.3,163.619663,"other municipalities","Arabica"
"3117405","MU","Conceição de Ipanema (MG)",685,0,685,1,0,19.33333333,0.193,0.267,0.298333333,0.3,72.77704279,"other municipalities","Arabica"
"3117702","MU","Conceição do Rio Verde (MG)",4335,0,4335,1,0,18.66666667,0.084333333,0.082,0.085,0.3,236.3391504,"study area","Arabica"
"3117801","MU","Conceição dos Ouros (MG)",250,0,250,1,0,20.11111111,0.150666667,0.142666667,0.159,0.3,174.4514921,"other municipalities","Arabica"
"3117900","MU","Congonhal (MG)",280,0,280,1,0,22.33888889,0.100333333,0.093333333,0.094,0.3,289.9968836,"other municipalities","Arabica"
"3118403","MU","Conselheiro Pena (MG)",5380,220,5600,0.960714285714286,0.0392857142857143,22.31666667,0.089666667,0.149666667,0.163,0.328,198.6114254,"other municipalities","Arabica"
"3118700","MU","Coqueiral (MG)",7400,0,7400,1,0,18.33333333,0.051,0.051666667,0.052,0.3,332.8911715,"study area","Arabica"
"3119005","MU","Cordislândia (MG)",2140,0,2140,1,0,19,0.063666667,0.066666667,0.075666667,0.3,262.6019389,"study area","Arabica"
"3119203","MU","Coroaci (MG)",234,0,234,1,0,13.91111111,0.310333333,0.309333333,0.396333333,0.444,45.02173505,"other municipalities","Arabica"
"3120508","MU","Cristina (MG)",1195,0,1195,1,0,22.66666667,0.168333333,0.174666667,0.178666667,0.3,134.5385205,"study area","Arabica"
"3120805","MU","Cruzília (MG)",330,0,330,1,0,16.66666667,0.099,0.051666667,0.063333333,0.3,265.30158,"other municipalities","Arabica"
"3120839","MU","Cuparaque (MG)",428,0,428,1,0,17.9,0.034,0.082333333,0.099,0.3,264.6848706,"other municipalities","Arabica"
"3121407","MU","Desterro de Entre Rios (MG)",35,0,35,1,0,9.838888889,0.082333333,0.119,0.096,0.3,187.7338188,"other municipalities","Arabica"
"3121704","MU","Diogo de Vasconcelos (MG)",0,0,0,NA,NA,10,0.262,0.309,0.403,0.3,78.50714309,"other municipalities",NA
"3121803","MU","Dionísio (MG)",95,0,95,1,0,13.33333333,0.438666667,0.381666667,0.409333333,0.3,43.30104955,"other municipalities","Arabica"
"3121902","MU","Divinésia (MG)",90,0,90,1,0,15,0.206666667,0.242,0.243333333,0.3,132.7130303,"other municipalities","Arabica"
"3122009","MU","Divino (MG)",10500,0,10500,1,0,22.66666667,0.238,0.238666667,0.222666667,0.3,106.0213835,"other municipalities","Arabica"
"3122405","MU","Divisa Nova (MG)",1406,0,1406,1,0,26.66666667,0.076666667,0.108666667,0.099,0.3,195.4301212,"other municipalities","Arabica"
"3122454","MU","Divisópolis (MG)",1900,0,1900,1,0,23.66666667,0.303666667,0.291333333,0.175666667,0.3,203.9063319,"other municipalities","Arabica"
"3122504","MU","Dom Cavati (MG)",90,0,90,1,0,20,0.078333333,0.096,0.083333333,0.3,149.9249499,"other municipalities","Arabica"
"3122801","MU","Dom Viçoso (MG)",294,0,294,1,0,20.01111111,0.169333333,0.097333333,0.097,0.3,146.3962728,"other municipalities","Arabica"
"3123106","MU","Dores de Guanhães (MG)",30,0,30,1,0,10.55555556,0.356666667,0.392,0.485666667,0.3,31.20228514,"other municipalities","Arabica"
"3123304","MU","Dores do Turvo (MG)",50,0,50,1,0,22.01111111,0.176666667,0.194666667,0.169333333,0.3,145.9473755,"other municipalities","Arabica"
"3123528","MU","Durandé (MG)",5300,0,5300,1,0,27.66111111,0.353,0.345666667,0.346,0.3,65.74650918,"other municipalities","Arabica"
"3123601","MU","Elói Mendes (MG)",9300,0,9300,1,0,20,0.040666667,0.033666667,0.039666667,0.3,356.4205774,"study area","Arabica"
"3123858","MU","Entre Folhas (MG)",300,0,300,1,0,16.66666667,0.192,0.201666667,0.216,0.3,83.15122314,"other municipalities","Arabica"
"3123908","MU","Entre Rios de Minas (MG)",310,0,310,1,0,26.45555556,0.115,0.123666667,0.122,0.3,172.6911213,"other municipalities","Arabica"
"3124005","MU","Ervália (MG)",5300,0,5300,1,0,25,0.256333333,0.222666667,0.176333333,0.3,138.8931786,"other municipalities","Arabica"
"3124203","MU","Espera Feliz (MG)",9680,0,9680,1,0,26.33333333,0.331,0.306666667,0.270666667,0.3,98.26782028,"other municipalities","Arabica"
"3124401","MU","Espírito Santo do Dourado (MG)",1400,0,1400,1,0,19,0.111,0.096,0.072333333,0.3,231.0597287,"other municipalities","Arabica"
"3124906","MU","Eugenópolis (MG)",1650,0,1650,1,0,24.47222222,0.196,0.269,0.216666667,0.3,141.3708222,"other municipalities","Arabica"
"3125200","MU","Fama (MG)",1200,0,1200,1,0,23.33333333,0.037,0.041333333,0.039666667,0.3,374.9230372,"other municipalities","Arabica"
"3125309","MU","Faria Lemos (MG)",930,0,930,1,0,17.66666667,0.255666667,0.260666667,0.182,0.3,169.7136061,"other municipalities","Arabica"
"3125903","MU","Ferros (MG)",180,0,180,1,0,16.01111111,0.422,0.577333333,0.350333333,0.3,101.4871678,"other municipalities","Arabica"
"3125952","MU","Fervedouro (MG)",4500,0,4500,1,0,20.66666667,0.314666667,0.259,0.249666667,0.3,84.19029107,"other municipalities","Arabica"
"3126307","MU","Fortaleza de Minas (MG)",800,0,800,1,0,21,0.241333333,0.273333333,0.240666667,0.3,93.73156473,"study area","Arabica"
"3126752","MU","Franciscópolis (MG)",300,0,300,1,0,13.33333333,0.155333333,0.129333333,0.160666667,0.3,133.6728494,"other municipalities","Arabica"
"3126802","MU","Frei Gaspar (MG)",250,0,250,1,0,14.32222222,0.220666667,0.212,0.190333333,0.3,95.92081769,"other municipalities","Arabica"
"3127503","MU","Gonzaga (MG)",20,0,20,1,0,12.28333333,0.351333333,0.37,0.464,0.3,78.13914312,"other municipalities","Arabica"
"3128204","MU","Guaraciaba (MG)",155,0,155,1,0,18.63333333,0.350333333,0.378,0.318,0.3,99.20706054,"other municipalities","Arabica"
"3128303","MU","Guaranésia (MG)",3883,0,3883,1,0,25,0.113666667,0.116,0.101666667,0.3,201.1379995,"study area","Arabica"
"3128402","MU","Guarani (MG)",50,0,50,1,0,16,0.108666667,0.101333333,0.079333333,0.3,265.7542625,"other municipalities","Arabica"
"3128709","MU","Guaxupé (MG)",5299,0,5299,1,0,21.66666667,0.173,0.185666667,0.163333333,0.3,169.0983803,"study area","Arabica"
"3129004","MU","Guiricema (MG)",450,0,450,1,0,24.68888889,0.070333333,0.164666667,0.151333333,0.3,171.4173766,"other municipalities","Arabica"
"3129202","MU","Heliodora (MG)",3445,0,3445,1,0,20.33333333,0.144666667,0.158666667,0.162,0.3,154.1351939,"study area","Arabica"
"3129301","MU","Iapu (MG)",60,0,60,1,0,18.88888889,0.153,0.135333333,0.141666667,0.3,227.8355356,"other municipalities","Arabica"
"3129905","MU","Ibitiúra de Minas (MG)",1400,0,1400,1,0,26.33333333,0.106333333,0.102666667,0.097666667,0.3,181.3945009,"other municipalities","Arabica"
"3130002","MU","Ibituruna (MG)",850,0,850,1,0,18.66666667,0.093666667,0.077333333,0.082666667,0.3,236.0657864,"other municipalities","Arabica"
"3130408","MU","Ijaci (MG)",500,0,500,1,0,19.66666667,0.036333333,0.029333333,0.028,0.3,466.376356,"other municipalities","Arabica"
"3130556","MU","Imbé de Minas (MG)",2950,0,2950,1,0,18.66666667,0.201666667,0.241,0.240666667,0.3,79.74098322,"other municipalities","Arabica"
"3130606","MU","Inconfidentes (MG)",990,0,990,1,0,22.77777778,0.092666667,0.093333333,0.073,0.3,210.2079033,"other municipalities","Arabica"
"3130804","MU","Ingaí (MG)",520,0,520,1,0,24.33888889,0.098666667,0.083,0.08,0.3,244.5896848,"other municipalities","Arabica"
"3130903","MU","Inhapim (MG)",2110,0,2110,1,0,26.66666667,0.150666667,0.170333333,0.194333333,0.3,122.0675009,"other municipalities","Arabica"
"3131208","MU","Ipanema (MG)",33,340,373,0.0884718498659517,0.911528150134048,18.80555556,0.188333333,0.195333333,0.306666667,0.967,113.6577151,"other municipalities","Canephora"
"3131802","MU","Itabirinha (MG)",150,150,300,0.5,0.5,20,0.043333333,0.052333333,0.051666667,0.672,341.084453,"other municipalities","Canephora"
"3132305","MU","Itaipé (MG)",3050,0,3050,1,0,15.33333333,0.437666667,0.500333333,0.427333333,0.3,69.19183139,"other municipalities","Arabica"
"3132404","MU","Itajubá (MG)",53,0,53,1,0,15.06666667,0.173333333,0.071333333,0.047666667,0.3,274.5538694,"other municipalities","Arabica"
"3132602","MU","Itamarati de Minas (MG)",150,0,150,1,0,16.66666667,0.224333333,0.213,0.182,0.3,175.2231281,"other municipalities","Arabica"
"3132701","MU","Itambacuri (MG)",90,0,90,1,0,16.66666667,0.152,0.372,0.340333333,0.3,80.54789027,"other municipalities","Arabica"
"3133204","MU","Itanhomi (MG)",275,0,275,1,0,20.83888889,0.033333333,0.058,0.076333333,0.3,401.0512916,"other municipalities","Arabica"
"3133907","MU","Itaverava (MG)",40,0,40,1,0,8.611111111,0.297,0.220666667,0.188666667,0.3,139.6829015,"other municipalities","Arabica"
"3134103","MU","Itueta (MG)",1040,530,1570,0.662420382165605,0.337579617834395,20.71111111,0.097666667,0.121666667,0.128,0.594,224.6161772,"other municipalities","Arabica"
"3134301","MU","Itumirim (MG)",303,0,303,1,0,20.33888889,0.046,0.047333333,0.040333333,0.3,245.9758216,"other municipalities","Arabica"
"3134509","MU","Itutinga (MG)",120,0,120,1,0,19.32777778,0.055666667,0.070333333,0.064333333,0.3,219.2168408,"other municipalities","Arabica"
"3134905","MU","Jacutinga (MG)",3475,0,3475,1,0,24.66666667,0.18,0.199,0.173666667,0.3,122.5993404,"study area","Arabica"
"3135506","MU","Jequeri (MG)",3000,0,3000,1,0,30.33333333,0.209666667,0.220666667,0.187666667,0.3,141.3874023,"other municipalities","Arabica"
"3135803","MU","Jequitinhonha (MG)",20,0,20,1,0,15,0.406666667,0.492,0.408,0.3,145.9300421,"other municipalities","Arabica"
